Repr_Succ,WLH ID,WII Animal ID,herd_area,Date,Year,Calf_result,stay_in_pen,weight (kg),condition_raw,condition_clean,body_fat_perc,age_raw,age_clean,tooth wear,toothwear_clean,Toxoplasma,Neospora,AHC_IBR,ERYSIP,Erysip_simplified,Negative_all3,Mn (ng/mL),Fe (ug/mL),Co (ng/mL),Cu (ug/mL),Zn (ug/mL),Se (ug/mL),Mo (ng/mL),Haptoglobin g/L,fec_cort_capt,fecal_nitro_capt,precalf_avg_cort,postcalf_avg_cort,hair_cort,bone_marrow_dry_wt,Parasites_fecal,Notes
,18-13639,C430K,Klinse-Za,2019-01-17,2019,Alive,,unk,good,good,,young (2-3),young,unk,unk,Negative,Negative,Negative,positive,positive,no,3.4,16,0.48,0.61,0.89,0.068,19,0.65,24.58,,,,pending,,pending,
,18-13638,C429K,Klinse-Za,2019-01-14,2019,Alive,,unk,good,good,,mature (4-5),young,unk,unk,Negative,Negative,Negative,negative,negative,yes,3.3,17,0.66,0.54,0.86,0.065,<MDL,0.28,26.61,,,,pending,,pending,
2,17-10503,C338K,Klinse-Za,2018-04-06,2018,Wild,wild,unk,poor,poor,,unk,unk,minimal,minimal,Negative,Negative,Negative,Positive,Positive,no,4.1,6.1,0.37,1,0.67,0.068,<MDL,1.36,28.64,,,,3.46,,pending,
1,17-10502,C333K,Klinse-Za,2018-04-06,2018,Wild,wild,unk,poor,poor,,unk,unk,Moderate,Moderate,Negative,Negative,Unk,Positive,Positive,no,5.3,3.6,0.55,0.42,0.55,0.059,<MDL,,32.04,,,,4.83,,pending,
,18-13645R,C311K,Klinse-Za,2019-03-13,2019,Alive,,123,fair,fair,,old (8-9),old,unk,unk,Negative,Negative,Negative,negative,negative,yes,1.7,2.7,0.45,0.39,0.51,0.056,<MDL,0.25,32.48,,,,pending,,pending,
#N/A,17-10498R,C315S,Klinse-Za,2018-04-03,2018,Alive,5,98,poor,poor,,mature (4-5),young,unk,unk,Negative,Negative,Negative,Negative,Negative,yes,3.6,3.4,0.63,0.46,0.57,0.061,<MDL,0.2,33.58,,unk,106.22,7.10,,pending,
,18-13670,C434S,Klinse-Za,2019-03-28,2019,Wild,,unk,fair,fair,,mature (4-5),young,unk,unk,unk,Negative,Negative,negative,negative,yes,7.4,5.1,0.69,0.35,0.68,0.048,<MDL,0.22,34.75,,,,pending,,pending,
,18-13636,C355K,Klinse-Za,2018-12-22,2019,Alive,,unk,unk,unk,,unk,unk,unk,unk,Negative,Negative,Negative,negative,negative,yes,2.3,6.3,0.46,0.5,1,0.056,1.1,0.42,37.29,,,,pending,,pending,
,18-13646R,C429K,Klinse-Za,2019-03-13,2019,Alive,,107,fair,fair,,mature (4-5),young,unk,unk,Negative,Negative,Negative,negative,negative,yes,1.6,4.3,0.54,0.41,0.55,0.051,<MDL,0.28,37.32,,,,pending,,pending,
,18-13647R,C333K,Klinse-Za,2019-03-13,2019,np,,108,fair,fair,,old (8-9),old,unk,unk,Negative,Negative,Negative,positive,positive,no,2.2,5.3,0.47,0.43,0.59,0.061,<MDL,0.38,37.66,,,,pending,,pending,
