Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
2001,NA,NA,1,Control,0
2002,NA,NA,1,Control,0
2003,NA,NA,1,Control,0
2004,NA,NA,1,Control,0
2005,NA,NA,1,Control,0
2006,NA,NA,1,Control,0
2007,NA,NA,1,Control,0
2008,NA,NA,1,Control,0
2009,NA,NA,1,Control,0
2010,NA,NA,1,Control,0
2011,NA,NA,1,Control,0
2012,NA,NA,1,Control,0
2013,NA,NA,1,Control,0
2014,NA,NA,1,Control,0
2015,NA,NA,1,Control,1
2016,0.232,0.099,1,Control,1
2017,0.256,0.087,1,Control,1
2018,0.388,0.075,1,Control,1
2019,0.29,0.07,1,Control,1
2020,NA,NA,1,Control,1
