Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
1995,NA,NA,1,Control,0
1996,NA,NA,1,Control,0
1997,NA,NA,1,Control,0
1998,NA,NA,1,Control,0
1999,NA,NA,1,Control,0
2000,NA,NA,1,Control,0
2001,NA,NA,1,Control,0
2002,0.141,0.089,1,Control,0
2003,0.168,0.068,1,Control,0
2004,0.182,0.081,1,Control,0
2005,0.367,0.087,1,Control,0
2006,0.124,0.08,1,Control,0
2007,0.183,0.111,1,Control,0
2008,0.347,0.092,1,Control,0
2009,0.22,0.073,1,Control,0
2010,0.177,0.089,1,Control,0
2011,0.116,0.062,1,Control,0
2012,0.223,0.095,1,Control,0
2013,0.541,0.134,1,Control,0
2014,0.333,0.101,1,Control,0
2015,0.189,0.096,1,Control,1
2016,0.277,0.102,1,Control,1
2017,0.335,0.109,1,Control,1
2018,0.3,0.1,1,Control,1
2019,0.192,0.076,1,Control,1
2020,0.251,0.106,1,Control,1
