Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
1995,0.64,NA,NA,NA,0
1996,0.64,NA,NA,NA,0
1997,0.64,NA,NA,NA,0
1998,0.64,NA,NA,NA,0
1999,0.64,NA,NA,NA,0
2000,0.64,NA,NA,NA,0
2001,0.64,NA,NA,NA,0
2002,0.64,NA,NA,NA,0
2003,0.64,NA,NA,NA,0
2004,0.64,NA,NA,NA,0
2005,0.64,NA,NA,NA,0
2006,0.64,NA,NA,NA,0
2007,0.64,NA,NA,NA,0
2008,0.64,NA,NA,NA,0
2009,0.64,NA,NA,NA,0
2010,0.64,NA,NA,NA,0
2011,0.64,NA,NA,NA,0
2012,0.64,NA,NA,NA,0
2013,0.64,NA,NA,NA,0
2014,0.6875,NA,NA,NA,0
2015,0.771428571,NA,NA,NA,1
2016,0.666666667,NA,NA,NA,1
2017,0.520833333,NA,NA,NA,1
2018,0.641509434,NA,NA,NA,1
2019,0.471428571,NA,NA,NA,1
2020,0.414285714,NA,NA,NA,1
2021,0.425287356,NA,NA,NA,1
