Year,Wolf_control_pen,SurveryCount_ADULTMF,Estimate_ADULTMF,SD_Estimate_ADULTMF,Estimate_ADULTMF2,SD_Estimate_ADULTMF2,SurveryCount_CALFMF,Estimate_CALFMF,SD_Estimate_CALFMF,Estimate_CALFMF2,SD_Estimate_CALFMF2
1996,0,209,299,29.30254144,327,27.20950276,22,31,3.037458564,34,2.820497238
1997,0,,,,,,,,,,
1998,0,,,,,,,,,,
1999,0,,,,,,,,,,
2000,0,,,,,,,,,,
2001,0,,,,,,,,,,
2002,0,,,,,,,,,,
2003,0,,,,,,,,,,
2004,0,,,,,,,,,,
2005,0,70,78,6.318,110,9.126,20,22,1.782,31,2.574
2006,0,,,,,,,,,,
2007,0,,,,,,,,,,
2008,0,,,,,,,,,,
2009,0,60,66,5.355,93,7.735,9,9,0.765,13,1.105
2010,0,,,,,,,,,,
2011,0,52,58,4.667142857,81,6.741428571,3,4,0.282857143,5,0.408571429
2012,0,40,44,3.564,62,5.148,5,6,0.486,8,0.702
2013,0,,,,,,,,,,
2014,0,34,35,3.06,53,4.42,6,6,0.54,9,0.78
2015,1,36,37,3.24,56,4.68,6,6,0.45,8,0.65
2016,1,45,46,4.05,70,5.85,9,9,0.72,13,1.04
2017,1,48,49,4.32,75,6.24,12,12,0.99,17,1.43
2018,1,54,55,4.86,84,7.02,12,12,1.08,19,1.56
2019,1,70,71,6.3,109,9.1,11,11,0.72,13,1.04
2020,1,71,72,6.39,111,9.23,14,14,1.26,22,1.82
