Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
1996,134,NA,NA,NA,0
1997,NA,NA,NA,NA,0
1998,NA,NA,NA,NA,0
1999,NA,NA,NA,NA,0
2000,NA,NA,NA,NA,0
2001,NA,NA,NA,NA,0
2002,NA,NA,NA,NA,0
2003,NA,NA,NA,NA,0
2004,NA,NA,NA,NA,0
2005,45,NA,NA,NA,0
2006,NA,NA,NA,NA,0
2007,NA,NA,NA,NA,0
2008,NA,NA,NA,NA,0
2009,38,NA,NA,NA,0
2010,NA,NA,NA,NA,0
2011,33,NA,NA,NA,0
2012,25,NA,NA,NA,0
2013,NA,NA,NA,NA,0
2014,21,NA,NA,NA,0
2015,27,NA,NA,NA,1
2016,30,NA,NA,NA,1
2017,25,NA,NA,NA,1
2018,34,NA,NA,NA,1
2019,33,NA,NA,NA,1
2020,29,NA,NA,NA,1
