Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
1996,9,NA,1,Control,0
1997,NA,NA,1,Control,0
1998,NA,NA,1,Control,0
1999,NA,NA,1,Control,0
2000,NA,NA,1,Control,0
2001,NA,NA,1,Control,0
2002,1,NA,1,Control,0
2003,4,NA,1,Control,0
2004,3,NA,1,Control,0
2005,10,NA,1,Control,0
2006,1,NA,1,Control,0
2007,1,NA,1,Control,0
2008,8,NA,1,Control,0
2009,6,NA,1,Control,0
2010,2,NA,1,Control,0
2011,2,NA,1,Control,0
2012,3,NA,1,Control,0
2013,6,NA,1,Control,0
2014,6,NA,1,Control,0
2015,2,NA,1,Control,1
2016,4,NA,1,Control,1
2017,5,NA,1,Control,1
2018,5,NA,1,Control,1
2019,4,NA,1,Control,1
2020,3,NA,1,Control,1
