Year,Wolf_control_pen,SurveryCount_ADULTMF,Estimate_ADULTMF,SD_Estimate_ADULTMF,SurveryCount_CALFMF,Estimate_CALFMF,SD_Estimate_CALFMF
1996,0,209,299,29.30254144,22,31,3.037458564
1997,0,,,,,,
1998,0,,,,,,
1999,0,,,,,,
2000,0,,,,,,
2001,0,,,,,,
2002,0,,,,,,
2003,0,,,,,,
2004,0,,,,,,
2005,0,70,,,20,,
2006,0,,,,,,
2007,0,,,,,,
2008,0,,,,,,
2009,0,60,,,9,,
2010,0,,,,,,
2011,0,52,58,4.667142857,3,4,0.282857143
2012,0,40,44,3.564,5,6,0.486
2013,0,,,,,,
2014,0,34,35,3.06,6,6,0.54
2015,1,36,37,3.24,5,5,0.45
2016,1,45,46,4.05,8,8,0.72
2017,1,48,49,4.32,11,11,0.99
2018,1,54,55,4.86,12,12,1.08
2019,1,70,71,6.3,8,8,0.72
2020,1,71,72,6.39,14,14,1.26
