Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
1996,211,NA,NA,NA,0
1997,,NA,NA,NA,0
1998,,NA,NA,NA,0
1999,,NA,NA,NA,0
2000,,NA,NA,NA,0
2001,,NA,NA,NA,0
2002,,NA,NA,NA,0
2003,,NA,NA,NA,0
2004,,NA,NA,NA,0
2005,70,NA,NA,NA,0
2006,,NA,NA,NA,0
2007,,NA,NA,NA,0
2008,,NA,NA,NA,0
2009,68,NA,NA,NA,0
2010,,NA,NA,NA,0
2011,55,NA,NA,NA,0
2012,45,NA,NA,NA,0
2013,36,NA,NA,NA,0
2014,40,NA,NA,NA,0
2015,42,NA,NA,NA,1
2016,54,NA,NA,NA,1
2017,60,NA,NA,NA,1
2018,66,NA,NA,NA,1
2019,81,NA,NA,NA,1
2020,85,NA,NA,NA,1
