Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
1996,0,NA,2,Pen,0
1997,0,NA,2,Pen,0
1998,0,NA,2,Pen,0
1999,0,NA,2,Pen,0
2000,0,NA,2,Pen,0
2001,0,NA,2,Pen,0
2002,0,NA,2,Pen,0
2003,0,NA,2,Pen,0
2004,0,NA,2,Pen,0
2005,0,NA,2,Pen,0
2006,0,NA,2,Pen,0
2007,0,NA,2,Pen,0
2008,0,NA,2,Pen,0
2009,0,NA,2,Pen,0
2010,0,NA,2,Pen,0
2011,0,NA,2,Pen,0
2012,0,NA,2,Pen,0
2013,0,NA,2,Pen,0
2014,0,NA,2,Pen,1
2015,0,NA,2,Pen,1
2016,0,NA,2,Pen,1
2017,1,NA,2,Pen,1
2018,0,NA,2,Pen,1
2019,1,NA,2,Pen,1
2020,0,NA,2,Pen,1
