Year,seen,out,SD,Pop,Pop_desc,Wolf_control_pen
1995,7,10,NA,NA,NA,0
1996,7,10,NA,NA,NA,0
1997,,,NA,NA,NA,0
1998,,,NA,NA,NA,0
1999,,,NA,NA,NA,0
2000,,,NA,NA,NA,0
2001,,,NA,NA,NA,0
2002,,,NA,NA,NA,0
2003,,,NA,NA,NA,0
2004,,,NA,NA,NA,0
2005,8,10,NA,NA,NA,0
2006,,,NA,NA,NA,0
2007,,,NA,NA,NA,0
2008,,,NA,NA,NA,0
2009,8,10,NA,NA,NA,0
2010,,,NA,NA,NA,0
2011,7,7,NA,NA,NA,0
2012,3,3,NA,NA,NA,0
2013,,,NA,NA,NA,0
2014,10,10,NA,NA,NA,0
2015,10,10,NA,NA,NA,1
2016,10,10,NA,NA,NA,1
2017,10,10,NA,NA,NA,1
2018,10,10,NA,NA,NA,1
2019,10,10,NA,NA,NA,1
2020,10,10,NA,NA,NA,1
2021,10,10,NA,NA,NA,1
