Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
2001,NA,NA,1,Control,0
2002,0.351,0.049,1,Control,0
2003,0.411,0.083,1,Control,0
2004,0.284,0.057,1,Control,0
2005,0.214,0.062,1,Control,0
2006,0.225,0.052,1,Control,0
2007,0.206,0.049,1,Control,0
2008,0.25,0.042,1,Control,0
2009,0.201,0.057,1,Control,0
2010,0.382,0.07,1,Control,0
2011,0.277,0.056,1,Control,0
2012,0.123,0.042,1,Control,0
2013,0.129,0.037,1,Control,0
2014,0.318,0.07,1,Control,0
2015,0.232,0.064,1,Control,1
2016,0.364,0.099,1,Control,1
2017,0.345,0.087,1,Control,1
2018,0.358,0.075,1,Control,1
2019,0.459,0.07,1,Control,1
2020,0.357,0.089,1,Control,1
