Year,Mean,SD,Pop,Pop_desc,Wolf_control_pen
2001,0.64,NA,NA,NA,0
2002,0.64,NA,NA,NA,0
2003,0.64,NA,NA,NA,0
2004,0.64,NA,NA,NA,0
2005,0.64,NA,NA,NA,0
2006,0.64,NA,NA,NA,0
2007,0.64,NA,NA,NA,0
2008,0.64,NA,NA,NA,0
2009,0.64,NA,NA,NA,0
2010,0.64,NA,NA,NA,0
2011,0.64,NA,NA,NA,0
2012,0.64,NA,NA,NA,0
2013,0.64,NA,NA,NA,0
2014,0.64,NA,NA,NA,0
2015,0.64,NA,NA,NA,0
2016,0.64,NA,NA,NA,0
2017,0.64,NA,NA,NA,1
2018,0.64,NA,NA,NA,1
2019,0.64,NA,NA,NA,1
2020,0.64,NA,NA,NA,1
2021,0.64,NA,NA,NA,1
