Year,Wolf_control_pen,SurveryCount_ADULTMF,Estimate_ADULTMF,SD_Estimate_ADULTMF,SurveryCount_CALFMF,Estimate_CALFMF,SD_Estimate_CALFMF
2001,0,,,,,,
2002,0,123,172,14.97000736,31,43,3.74250184
2003,0,,,,,,
2004,0,,,,,,
2005,0,,,,,,
2006,0,,,,,,
2007,0,,,,,,
2008,0,77,135,10.0286879,18,32,2.3443686
2009,0,,,,,,
2010,0,,,,,,
2011,0,,,,,,
2012,0,,,,,,
2013,0,78,121,8.9843598,5,8,0.5759205
2014,0,,,,,,
2015,0,,,,,,
2016,0,23,46,3.09407264,6,12,0.77351816
2017,1,,,,,,
2018,1,37,55,4.256665,12,18,1.38054
2019,1,36,48,5.434902,12,16,1.811634
2020,1,,,,,,
